,rank,trial,l_1 ratio,score,silhouete score,rmse
0,2,0,0.0,0.6416164659240458,0.5052839761158416,0.5422249403972657
1,2,1,0.0,0.6374025747124226,0.49936575694037566,0.5493202351842309
2,2,2,0.0,0.6405478876436693,0.5023338407479622,0.5467138785587295
3,2,3,0.0,0.6449961973438423,0.505736582783508,0.5462007017871661
4,2,4,0.0,0.6372423047634074,0.5073829298189747,0.543176572279336
5,3,0,0.0,0.7096601538079164,0.597042219212717,0.44721712795558344
6,3,1,0.0,0.6953539068515865,0.6351449530729748,0.4173621743821906
7,3,2,0.0,0.6928588645899131,0.6405876899237317,0.4142470840046373
8,3,3,0.0,0.6926137261397689,0.6376417274871725,0.4191292274360729
9,3,4,0.0,0.6994292008812337,0.6344033087952352,0.42256981942803357
10,4,0,0.0,0.7604405364525886,0.7675159799735817,0.2729488885306643
11,4,1,0.0,0.7584321723444454,0.7646526080372149,0.2759533125321953
12,4,2,0.0,0.7703544050135807,0.7536089805455684,0.28088493240553
13,4,3,0.0,0.7664251087757943,0.7621263594509066,0.2773622219046728
14,4,4,0.0,0.7540348983804267,0.7575645273120213,0.2780495884302629
15,5,0,0.0,0.77968148393203,0.7031145568392625,0.21495071362094412
16,5,1,0.0,0.7780407889703285,0.7010526662220853,0.21838947698590477
17,5,2,0.0,0.7727590823245262,0.7042647008513462,0.21538715928464008
18,5,3,0.0,0.7710694212303943,0.6820084348630694,0.21879860679487978
19,5,4,0.0,0.7706218204219503,0.6937683313570141,0.21426250516266862
20,7,0,0.0,0.7628891676722898,0.6442738472421333,0.14086446049463017
21,7,1,0.0,0.7950551940804191,0.6977150672938179,0.12613878528917397
22,7,2,0.0,0.6968460071074198,0.3781517783918698,0.14303828789931242
23,7,3,0.0,0.7838740136943737,0.7098063811801867,0.12342120983975795
24,7,4,0.0,0.7076548243242298,0.210938631325883,0.135902056860477
25,9,0,0.0,0.8054272727988745,0.6957641571211233,0.10520394122653898
26,9,1,0.0,0.7876166887154397,0.7785269899501935,0.09497052882834418
27,9,2,0.0,0.8083460567155558,0.6831192092175816,0.10442362756903815
28,9,3,0.0,0.7998294120226705,0.4111116576754371,0.1155159325462828
29,9,4,0.0,0.7899631694738445,0.6502228088180659,0.10250712106355875
30,12,0,0.0,0.7894476852136836,0.6516280778102251,0.05079727807402533
31,12,1,0.0,0.7931548323690596,0.7027314444047151,0.05124279536767484
32,12,2,0.0,0.794586429636956,0.6939212502998109,0.05150423570989367
33,12,3,0.0,0.7906008294430587,0.586030900976115,0.06461686624978531
34,12,4,0.0,0.8039144015792241,0.7041352177874961,0.04869148356202927
35,16,0,0.0,0.8055675855817855,0.5933503860906755,0.03205089055196287
36,16,1,0.0,0.8026236330381958,0.6559956018032063,0.031705265435484374
