,rank,trial,l_1 ratio,score,silhouete score,rmse
0,2,0,0.0,0.6113340332678844,0.5051356895221644,1.3731809335416703
1,2,1,0.0,0.612545136412044,0.5179461521111342,1.3576524196425448
2,2,2,0.0,0.606613941207947,0.49822125897981107,1.384456643559668
3,2,3,0.0,0.6153505648297999,0.5147502403604197,1.358286184000847
4,2,4,0.0,0.6670288442543837,0.5247490529319848,1.366912565170093
5,3,0,0.0,0.7550502594658163,0.636909752820342,1.1253960636689384
6,3,1,0.0,0.7087605563032577,0.5947156978717275,1.007921763191528
7,3,2,0.0,0.709399725116432,0.599479808758118,1.0215541698016977
8,3,3,0.0,0.7186183676596842,0.5869003258178245,1.024999854292659
9,3,4,0.0,0.7143095724788601,0.6039753009756357,1.007217166832432
10,4,0,0.0,0.734863031334266,0.5786367981064094,0.8927830536156649
11,4,1,0.0,0.7669534049660284,0.733184011979367,0.8392020972813956
12,4,2,0.0,0.7603506873438197,0.6333022959238253,0.825959421588376
13,4,3,0.0,0.7345204990875233,0.5874643649715904,0.8913239652582359
14,4,4,0.0,0.7506965093839117,0.5748197178635192,0.9259241097840456
15,5,0,0.0,0.7214427250974187,0.36941546090853233,1.060677227298638
16,5,1,0.0,0.7728293139189002,0.7031662500423779,0.6681736420088425
17,5,2,0.0,0.7517691115078784,0.5390313822378402,0.8473744861619004
18,5,3,0.0,0.7325203564459588,0.43030392687837515,0.8685750987918653
19,5,4,0.0,0.7858266259374973,0.7011430823122077,0.6990966321461187
20,7,0,0.0,0.7282557760351672,0.5603519063995676,0.6618272501416254
21,7,1,0.0,0.785574490467517,0.7181510340201496,0.4236219288901796
22,7,2,0.0,0.7782625961199097,0.7359434757388296,0.46126752922063147
23,7,3,0.0,0.8142011220324937,0.7050604817180653,0.3999347221535625
24,7,4,0.0,0.7960053445535161,0.712396352766089,0.465328203905221
25,9,0,0.0,0.7882447597138554,0.7970219336229676,0.314919642679067
26,9,1,0.0,0.7860215722970686,0.7503360910775675,0.3858157727600798
27,9,2,0.0,0.8071557391887103,0.5790346137071537,0.5759552815414277
28,9,3,0.0,0.8032137620874352,0.7344768125269608,0.3075074912566984
29,9,4,0.0,0.7890512634810611,0.7570639721685025,0.3029702482080788
30,12,0,0.0,0.801264941353047,0.6534965166462954,0.24277881470529114
31,12,1,0.0,0.7926216344763612,0.6328372599067863,0.1939088066253244
32,12,2,0.0,0.7977543378110271,0.7646089178440271,0.2560829814870352
33,12,3,0.0,0.7961781051135758,0.7122179746026294,0.24558626719815374
34,12,4,0.0,0.7965139978020511,0.5705394897604377,0.2331779695695929
35,16,0,0.0,0.7967656942949382,0.6350808185354351,0.15391605418262902
36,16,1,0.0,0.8035115126042512,0.4024291260594674,0.2474675845184209
37,16,2,0.0,0.7892287078665445,0.6412388921845024,0.13141953288909894
38,16,3,0.0,0.7672196973783579,0.40417313318760273,0.15160798176370346
39,16,4,0.0,0.7953069393304473,0.6228170272207402,0.1870783782292588
40,21,0,0.0,0.7727287120679127,0.456824381193077,0.12445122411002645
41,21,1,0.0,0.7786075324121898,0.17316079029709616,0.13690980254286161
